File	Metric	Value
20190731	Synonyms per object property	0.058
20190731	Descriptions per class	0.017
20190731	Descriptions per property	0.363
20190731	Descriptions per annotation property	0.000
20190731	Descriptions per data property	NaN
20190731	Descriptions per object property	0.375
20150731	Lexically suggest logically define	0.281
20150731	Systematic naming	0.174
20150731	Number of classes	316980.000
20150731	Names per class	2.071
20150731	Names per property	1.902
20150731	Names per annotation property	0.000
20150731	Names per data property	NaN
20150731	Names per object property	2.000
20150731	Synonyms per class	0.547
20150731	Synonyms per property	0.085
20150731	Synonyms per annotation property	0.000
20150731	Synonyms per data property	NaN
20150731	Synonyms per object property	0.090
20150731	Descriptions per class	0.004
20150731	Descriptions per property	0.195
20150731	Descriptions per annotation property	0.000
20150731	Descriptions per data property	NaN
20150731	Descriptions per object property	0.205
20110731	Lexically suggest logically define	0.276
20110731	Systematic naming	0.176
20110731	Number of classes	295647.000
20110731	Names per class	2.070
20110731	Names per property	1.851
20110731	Names per annotation property	0.000
20110731	Names per data property	NaN
20110731	Names per object property	1.968
20110731	Synonyms per class	0.533
20110731	Synonyms per property	0.090
20110731	Synonyms per annotation property	0.000
20110731	Synonyms per data property	NaN
20110731	Synonyms per object property	0.095
20110731	Descriptions per class	0.002
20110731	Descriptions per property	0.000
20110731	Descriptions per annotation property	0.000
20110731	Descriptions per data property	NaN
20110731	Descriptions per object property	0.000
20180731	Lexically suggest logically define	0.287
20180731	Systematic naming	0.169
20180731	Number of classes	340546.000
20180731	Names per class	2.067
20180731	Names per property	1.932
20180731	Names per annotation property	0.000
20180731	Names per data property	NaN
20180731	Names per object property	2.000
20180731	Synonyms per class	0.564
20180731	Synonyms per property	0.059
20180731	Synonyms per annotation property	0.000
20180731	Synonyms per data property	NaN
20180731	Synonyms per object property	0.061
20180731	Descriptions per class	0.014
20180731	Descriptions per property	0.314
20180731	Descriptions per annotation property	0.000
20180731	Descriptions per data property	NaN
20180731	Descriptions per object property	0.325
20140731	Lexically suggest logically define	0.279
20140731	Systematic naming	0.178
20140731	Number of classes	300689.000
20140731	Names per class	2.070
20140731	Names per property	1.881
20140731	Names per annotation property	0.000
20140731	Names per data property	NaN
20140731	Names per object property	2.000
20140731	Synonyms per class	0.548
20140731	Synonyms per property	0.090
20140731	Synonyms per annotation property	0.000
20140731	Synonyms per data property	NaN
20140731	Synonyms per object property	0.095
20140731	Descriptions per class	0.003
20140731	Descriptions per property	0.000
20140731	Descriptions per annotation property	0.000
20140731	Descriptions per data property	NaN
20140731	Descriptions per object property	0.000
20120131	Lexically suggest logically define	0.275
20120131	Systematic naming	0.177
20120131	Number of classes	295858.000
20120131	Names per class	2.070
20120131	Names per property	1.851
20120131	Names per annotation property	0.000
20120131	Names per data property	NaN
20120131	Names per object property	1.968
20120131	Synonyms per class	0.536
20120131	Synonyms per property	0.090
20120131	Synonyms per annotation property	0.000
20120131	Synonyms per data property	NaN
20120131	Synonyms per object property	0.095
20120131	Descriptions per class	0.002
20120131	Descriptions per property	0.000
20120131	Descriptions per annotation property	0.000
20120131	Descriptions per data property	NaN
20120131	Descriptions per object property	0.000
20170731	Lexically suggest logically define	0.270
20170731	Systematic naming	0.171
20170731	Number of classes	336796.000
20170731	Names per class	2.069
20170731	Names per property	1.922
20170731	Names per annotation property	0.000
20170731	Names per data property	NaN
20170731	Names per object property	2.000
20170731	Synonyms per class	0.545
20170731	Synonyms per property	0.078
20170731	Synonyms per annotation property	0.000
20170731	Synonyms per data property	NaN
20170731	Synonyms per object property	0.082
20170731	Descriptions per class	0.011
20170731	Descriptions per property	0.265
20170731	Descriptions per annotation property	0.000
20170731	Descriptions per data property	NaN
20170731	Descriptions per object property	0.276
