Metric	Object Property	Metric Value	Hierarchy
Descriptions per object property	http://snomed.info/id/405816004	0	
Descriptions per object property	http://snomed.info/id/736472000	0	
Descriptions per object property	http://snomed.info/id/246454002	0	
Descriptions per object property	http://snomed.info/id/42752001	0	
Descriptions per object property	http://snomed.info/id/246093002	0	
Descriptions per object property	http://snomed.info/id/363589002	0	
Descriptions per object property	http://snomed.info/id/370134009	0	
Descriptions per object property	http://snomed.info/id/260686004	0	
Descriptions per object property	http://snomed.info/id/260870009	0	
Descriptions per object property	http://snomed.info/id/116676008	0	
Descriptions per object property	http://snomed.info/id/246112005	0	
Descriptions per object property	http://snomed.info/id/704324001	2	
Descriptions per object property	http://snomed.info/id/738774007	1	
Descriptions per object property	http://snomed.info/id/408731000	0	
Descriptions per object property	http://snomed.info/id/371881003	0	
Descriptions per object property	http://snomed.info/id/363703001	0	
Descriptions per object property	http://snomed.info/id/405813007	0	
Descriptions per object property	http://snomed.info/id/733723002	1	
Descriptions per object property	http://snomed.info/id/246514001	1	
Descriptions per object property	http://snomed.info/id/736475003	0	
Descriptions per object property	http://snomed.info/id/260507000	0	
Descriptions per object property	http://snomed.info/id/246075003	0	
Descriptions per object property	http://snomed.info/id/363704007	0	
Descriptions per object property	http://snomed.info/id/704325000	1	
Descriptions per object property	http://snomed.info/id/118169006	0	
Descriptions per object property	http://snomed.info/id/246501002	1	
Descriptions per object property	http://snomed.info/id/118170007	0	
Descriptions per object property	http://snomed.info/id/766939001	0	
Descriptions per object property	http://snomed.info/id/246090004	0	
Descriptions per object property	http://snomed.info/id/774159003	1	
Descriptions per object property	http://snomed.info/id/408730004	0	
Descriptions per object property	http://snomed.info/id/732947008	1	
Descriptions per object property	http://snomed.info/id/733724008	1	
Descriptions per object property	http://snomed.info/id/363709002	0	
Descriptions per object property	http://snomed.info/id/784276002	1	
Descriptions per object property	http://snomed.info/id/704322002	1	
Descriptions per object property	http://snomed.info/id/704347000	1	
Descriptions per object property	http://snomed.info/id/405814001	0	
Descriptions per object property	http://snomed.info/id/732945000	1	
Descriptions per object property	http://snomed.info/id/704647008	1	
Descriptions per object property	http://snomed.info/id/774160008	1	
Descriptions per object property	http://snomed.info/id/363701004	0	
Descriptions per object property	http://snomed.info/id/733933004	0	
Descriptions per object property	http://snomed.info/id/370131001	0	
Descriptions per object property	http://snomed.info/id/704319004	1	
Descriptions per object property	http://snomed.info/id/734137005	0	
Descriptions per object property	http://snomed.info/id/736473005	0	
